Sem a pandemia qual seria o seu ano provável de formatura?,Você atualmente possui acesso à internet?,Atualmente você consegue (você pode escolher várias opções):,Na questão anterior você selecionou todas as opções?,Qual equipamento te falta para realizar todas as atividades remotamente?,As condições do seu local de estudo são:,Atualmente o que falta em seu local de estudo para ele ser ótimo?,"Atualmente, quanto os livros da biblioteca física são importantes para seus estudos?",Quantas disciplinas a distância você conseguiria cursar em um semestre? Note que ela pode demandar mais tempo que uma disciplina presencial.,Quais seus motivos para não fazer aulas a distância? Seja sincero.,"Desconsiderando suas atuais limitações de acesso, quais disciplinas você estaria disposto a cursar a distância no próximo semestre? (você tem que ter o pré-requisito)","Para que uma disciplina possa ser oferecida a distância, quantos dos alunos interessados e que tenham o pré-requisito devem ter condições de cursá-la?",Quais tipos de disciplinas deveriam ser oferecidas a distância durante o isolamento social (você pode escolher várias opções ou nenhuma)?,"Faça aqui outros comentários, dúvidas para aprimorarmos nosso levantamento de dados"
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Acredito que não me falta nada relacionado a bens materiais mas o fato de estar em casa com a minha família prejudica muito minha concentração e rotina/desempenho de estudo.,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"MINERAÇÃO DE DADOS, TG1",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação","Tenho alguns receios em relação ao ensino EAD relacionado ao rendimento e desempenho tanto dos alunos quanto dos professores. Outra preocupação que me afringe é relacionada ao meu TG, pois meu orientador está com férias programadas para esse segundo semestre e não sei como ficaria essa situação.
Ao meu ver o ensino EAD é uma boa solução diante do problema que estamos enfrentando atualmente, mas acredito que é preciso planejamento para não prejudicar o ensino, levando em consideração que estamos em uma das melhores universidades do país, e ser viável para todos os alunos sem prejudicar os professores (que teriam que se adaptar suas aulas) e os alunos."
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Silêncio ,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,"INTRODUÇÃO À ESTATÍSTICA, INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 1","Muitos, 50% ou mais tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",Sou a favor de começar as aulas EAD de todas as matérias o mais rápido possível!
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 1",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Internet sem alguns pequenos problemas e sem barulhos externos.,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"CONSTRUÇÃO DE INDICADORES, ESTUDOS POPULACIONAIS, INFERÊNCIA ESTATISTICA A, PESQUISA DE MERCADO, PROBABILIDADE 2, PROGRAMAÇÃO ESTATÍSTICA","Muitos, 50% ou mais tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs","O formulário ficou muito bom! A questão que ficou em aberto na minha cabeça foi o formato da aula, que acredito que terá necessidade de reformular materiais e até mesmo a dinâmica. Seria legal inserir mais os alunos nisso, de até mesmo grupos ficarem responsáveis pelo conteúdo da aula (slides, explicação e etc.) fazendo com quem haja melhorias em outros quesitos como trabalho em grupo, exposição no sentido de oratória, sendo o professor um orientador também. "
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,"ANÁLISE DE RISCOS, ATUÁRIA GERAL, ESTUDOS POPULACIONAIS, LABORATÓRIO DE ESTATÍSTICA APLICADA, MINERAÇÃO DE DADOS, TG1",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"CONTROLE ESTATÍSTICO DE QUALIDADE, ESTATÍSTICA BAYESIANA, ESTATÍSTICA NÃO-PARAMÉTRICA, INFERÊNCIA ESTATÍSTICA (6 Créditos), INTRODUÇÃO À TEORIA DAS FILAS, SÉRIES TEMPORAIS",Todos,"Optativas, Obrigatórias de recuperação, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Ruins, muita dificuldade de concentração","Um local adequado, sem barulho ","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"CONTROLE ESTATÍSTICO DE QUALIDADE, ESTATÍSTICA BAYESIANA, INFERÊNCIA ESTATÍSTICA (6 Créditos), PROCESSOS ESTOCÁSTICOS",Todos,"Optativas, Obrigatórias gerais",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","Como minha família trabalha em casa (minha mãe é costureira), quase sempre ela precisa de ajuda ou então precisa que eu faça alguma tarefa de casa. Diferente de quando eu estudo na biblioteca, que tenho um longo período de estudo sem se preocupar com outras coisas.","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ANÁLISE DE REGRESSÃO, CONTROLE ESTATÍSTICO DE QUALIDADE, ESTATÍSTICA BAYESIANA, ESTATÍSTICA MULTIVARIADA 1, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1",Todos,Optativas,"Em relação a uma pergunta anterior, na qual me questiona sobre quantas disciplinas eu conseguiria cursar, não consigo responder com tanta certeza, uma vez que nunca tive uma experiência EaD. Por fim respondi que conseguiria cursar algumas do semestre presencial mas desconsiderando a dificuldade das matérias que eu pretendo cursar."
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Silêncio ,"Muito, é impossível fazer qualquer disciplina sem a biblioteca",Algumas do semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 1",Todos,"Optativas, Obrigatórias de recuperação, Obrigatórias gerais",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Um local mais isolado,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"ANÁLISE DE RISCOS, ATUÁRIA GERAL, CONTROLE ESTATÍSTICO DE QUALIDADE, MÉTODOS EM BIOMETRIA, MINERAÇÃO DE DADOS, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 2, SÉRIES FINANCEIRAS, TG1","Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Mais tranquilidade e espaço de organização ,"Muito, é impossível fazer qualquer disciplina sem a biblioteca",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA",Todos,ACIEPEs,
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Parar de passar carro na rua; conversa com familiares.,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"LABORATÓRIO DE ESTATÍSTICA APLICADA, MINERAÇÃO DE DADOS, TG2",Todos,"Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ESTATÍSTICA BAYESIANA, INFERÊNCIA ESTATÍSTICA (6 Créditos), SÉRIES TEMPORAIS",Todos,"Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,,"Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, ACIEPEs",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ANÁLISE DE RISCOS, ATUÁRIA GERAL, CONTROLE ESTATÍSTICO DE QUALIDADE, MINERAÇÃO DE DADOS, TG1","Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase",
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Ruins, muita dificuldade de concentração",Espaço próprio para mim ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, MINERAÇÃO DE DADOS, PESQUISA DE MERCADO",Todos,"Optativas, Disciplinas de final de curso","Eu realmente acho uma péssima ideia tentar realizar disciplinas obrigatórias a distância, pois tenho uma grande dificuldade de ter local e tempo de estudo na minha própria casa, sendo que na faculdade tínhamos vários recursos como monitorias, plantões de dúvidas e claro a biblioteca, acho essencial nós lutarmos por um ensino de qualidade mesmo que tenhamos que sacrificar o nosso tempo.
Tenho certeza que muitos precisaram sacrificar muita coisa pra chegar onde chegaram, eu quero ser o melhor profissional possível portanto gostaria de ter as melhores aulas possíveis e lutarei por isso"
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"CONTROLE ESTATÍSTICO DE QUALIDADE, MINERAÇÃO DE DADOS, TG1","Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Ambiente silencioso,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ANÁLISE DE REGRESSÃO, ESTATÍSTICA MULTIVARIADA 1, MÉTODOS EM BIOMETRIA",Todos,"Optativas, ACIEPEs","Para garantir um bom ensino à distância, é importante que o ambiente virtual seja bem estruturado para garantir o acompanhamento dos alunos na disciplina e a comunicação para possíveis dúvidas com os professores."
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Computador sem restrições,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"CONSTRUÇÃO DE INDICADORES, ESTUDOS POPULACIONAIS","Muitos, 50% ou mais tem condições","Optativas, Disciplinas de final de curso, Obrigatórias gerais, ACIEPEs",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"CONTROLE ESTATÍSTICO DE QUALIDADE, PROGRAMAÇÃO ESTATÍSTICA",Todos,"Optativas, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",O local precisaria ser mais silencioso durante o dia para que eu pudesse me concentrar melhor,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA,"Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias gerais, ACIEPEs",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"LABORATÓRIO DE ESTATÍSTICA APLICADA, MINERAÇÃO DE DADOS, TG2",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Ruins, muita dificuldade de concentração",Silêncio.,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"MINERAÇÃO DE DADOS, TG1",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias gerais, ACIEPEs","Olá, parabéns pela iniciativa!

Sugestão: fazer uma newsletter informando um pouco do que a comissão e departamento estão fazendo OU uma FAQ (frequently asked questions) tirando as dúvidas mais frequentes dos alunos em relação a situação atual.
Se o semestre que vêm for EAD, este semestre poderia ser não obrigatório. Afinal, nada garante que a disciplina que precisamos vai abrir ou não.

Pensando a curto prazo, o interessante seria ter atividades para os alunos do último semestre ( Aplicada e TG2) e optativas de ênfase. 
Porém, ao meu ver o departamento tem que pensar a longooooo prazo e tentar investir em disciplinas para todos os perfis, e oferecer ao menos duas disciplinas para cada perfil do curso ( entre obrigatórias e optativas).

Em relação a dúvidas, há muitas:
- Como serão as avaliações no modelo EAD? Sugestão: Trabalhos e listas 
- Como ficam as pessoas que não possuem internet/condições de ter aula EAD? Como podemos ajudá-los?
- Quantas matérias um professor conseguirá lecionar? Mesmo com o treinamento, eles vão precisar de um tempo para reformular (ou não) o material de aula e provavelmente o horário de atendimento ao aluno será estendido, ou não?
- Como estão os professores? Eles concordam com o EAD? 
- Quando a UFSCar dará um parecer final sobre a situação atual? Só após o calendário suplementar? Tem uma galera pagando aluguel, sem saber se devem ou não cancelar ou renovar o contrato.
- Haverá flexibilização em relação aos pré-requisitos? 
- ""Note que ela pode demandar mais tempo que uma disciplina presencial."", quanto tempo a mais?
"
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"ANÁLISE DE REGRESSÃO, ESTATÍSTICA BAYESIANA, ESTATÍSTICA MULTIVARIADA 1, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1, PROCESSOS ESTOCÁSTICOS","Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias gerais","É importante eu dizer que acho necessario que todos os alunos contemplem com o ensino. Como exemplo a USP de são carlos: acredito que a proporçao de alunos sem acesso as ferramentas para realizar EAD seja maior na UFSCar que na USP, porém ainda sim existem estudantes que não conseguem ter acesso as aulas na universidade de sao paulo. Ouvi dizer que a faculdade disponibiliza os laboratorios com essa quantidade reduzida de estudantes para manter o cuidadado com virus, dessa forma atendendo a demanda de TODOS os estudantes, embora nem todos tenham essas ferramentas."
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"CONTROLE ESTATÍSTICO DE QUALIDADE, MINERAÇÃO DE DADOS, TG1",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","Falta um espaço particular só para que eu possa estudar e me concentrar, estudar em casa com todo mundo junto é barulhento e ocorre dispersão dos estudos.","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Nenhuma,"Falta de um espaço próprio, dispersão ao estudar. E provavelmente uma falta de preparação minha para conciliar estudos ead com a vida durante essa quarentena. E óbvio problemas pessoais que não vem ao caso. ",FUNDAMENTOS DE PROBABILIDADE,Todos,"Optativas, Disciplinas de final de curso",
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,"um computador melhor, pois o meu está ultrapassado","Aceitáveis, alguma dificuldade de concentração","um computador melhor, internet mais veloz, silêncio (pois possuo criança em casa)","Muito, é impossível fazer qualquer disciplina sem a biblioteca",Algumas do semestre presencial,,INTRODUÇÃO À ESTATÍSTICA,Todos,ACIEPEs,"Gostaria que se possível as aulas fossem presenciais, pois tenho dificuldades de aprendizado em ensino à distância."
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"ANÁLISE DE RISCOS, CONSTRUÇÃO DE INDICADORES, ESTATÍSTICA NÃO-PARAMÉTRICA, ESTUDOS POPULACIONAIS, MINERAÇÃO DE DADOS, SÉRIES FINANCEIRAS, TG1",Todos,"Optativas, Disciplinas de final de curso","Acredito que a inscrição neste semestre EAD não deve ser obrigatória, pois os alunos que não possuem condições de estrutura ou mentais, não devem ser penalizados. 
Obs: Na pergunta sobre quantos alunos devem ter acesso para a matéria poder ser disponibilizada em ead,  a minha resposta foi: todos. Porém a resposta foi  baseada em um cenário em que fosse obrigatório a inscrição, caso a inscrição seja facultativa a questão fica mais flexível. "
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"ANÁLISE DE REGRESSÃO, ESTATÍSTICA BAYESIANA, ESTATÍSTICA MULTIVARIADA 1, INFERÊNCIA ESTATÍSTICA (6 Créditos), MÉTODOS EM BIOMETRIA, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1, SÉRIES TEMPORAIS","Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","Seria um pouco menos de barulho vindo de fatores externos, como vozes de vizinhos, sons de músicas, etc.","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"CONSTRUÇÃO DE INDICADORES, ESTATÍSTICA MULTIVARIADA 1",Todos,"Optativas, Obrigatórias de ênfase, ACIEPEs","Seria muito interessante priorizar todos os alunos, inclusive os que não tem acesso. Pois seria injusto, alguns terem aulas enquanto outros não tem devido a condição."
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","silêncio, privacidade","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INTRODUÇÃO À ESTATÍSTICA, INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 1, PROGRAMAÇÃO ESTATÍSTICA",Todos,"Optativas, Obrigatórias de recuperação, ACIEPEs","Se houver obrigatoriedade no uso de webcam ou microfone, não tenho acesso atualmente."
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"ANÁLISE DE REGRESSÃO, ESTATÍSTICA BAYESIANA, ESTATÍSTICA NÃO-PARAMÉTRICA, PROCESSOS ESTOCÁSTICOS","Alguns, basta haver alunos aptos e interessados","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA,Todos,"Optativas, Obrigatórias gerais","Sempre fui contra por conta de saber que 50% dos alunos entram por algum tipo de ação afirmativa e de supor que alguém não deve ter completo acesso a internet, acredito que se apurado que todos os alunos tem, não há problema, porém se houver pessoas na condição de não poder fazer o EaD não vejo problema no atraso do semestre, na minha visão, é muito mais justo do que deixar alguém prejudicado por conta de condição financeira, ou talvez até emocional"
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"CONSTRUÇÃO DE INDICADORES, CONTROLE ESTATÍSTICO DE QUALIDADE, ESTATÍSTICA BAYESIANA, ESTUDOS POPULACIONAIS, INFERÊNCIA ESTATISTICA B, PROBABILIDADE 2, PROCESSOS ESTOCÁSTICOS","Muitos, 50% ou mais tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,Baixar e ler textos,Não,Um computador bom e internet que funciona direito meu notebook está com defeito na tela perdendo vídeo de maneira aleatório e por consequência perdendo tudo que já tinha feito.,"Ruins, muita dificuldade de concentração",Internet boa e pc bom para estudar.,"Muito, é impossível fazer qualquer disciplina sem a biblioteca",Nenhuma,"Internet, Pc e o motivo de ser DISLEXIA e ter TDH","PROBABILIDADE 1, PROGRAMAÇÃO ESTATÍSTICA",Todos,"Optativas, ACIEPEs",Como se dará as avaliações como saber se realmente foi eu que fiz a prova e se não tiver como estudar sem um PC de qualidade vou perder o curso?
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Ruins, muita dificuldade de concentração",Silêncio e espaço,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA,Todos,ACIEPEs,
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"ANÁLISE DE RISCOS, LABORATÓRIO DE ESTATÍSTICA APLICADA, MINERAÇÃO DE DADOS, TG1, TG2",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de recuperação, ACIEPEs","Importante notar que todos os alunos fazem parte de um sistema de educação de qualidade e público. Portanto, deve ser considerado que todos os alunos possam fazer parte e ter a mesma oportunidade. Já que todos realizaram a mesma provam para entrar em um curso presencial."
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA,"Quase todos, menos de 10% não tem condições",Obrigatórias gerais,
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Mais espaço e menos barulho,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA, PROGRAMAÇÃO ESTATÍSTICA",Todos,ACIEPEs,
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","Um espaço em que eu possa me concentrar sem ser interrompido, como uma escrivaninha num lugar mais isolado ou algo do gênero (atualmente tenho como alternativa a mesa da cozinha)","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ANÁLISE DE REGRESSÃO, ANÁLISE DE RISCOS, ATUÁRIA GERAL, CONTROLE ESTATÍSTICO DE QUALIDADE, ESTATÍSTICA BAYESIANA, ESTATÍSTICA MULTIVARIADA 1, ESTATÍSTICA NÃO-PARAMÉTRICA, ESTUDOS POPULACIONAIS, INFERÊNCIA ESTATÍSTICA (6 Créditos), INFERÊNCIA ESTATISTICA A, INFERÊNCIA ESTATISTICA B, INTRODUÇÃO À TEORIA DAS FILAS, LABORATÓRIO DE ESTATÍSTICA APLICADA, MÉTODOS EM BIOMETRIA, MINERAÇÃO DE DADOS, PESQUISA DE MERCADO, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 2, PROBABILIDADE 2, PROCESSOS ESTOCÁSTICOS, SÉRIES TEMPORAIS, SÉRIES FINANCEIRAS","Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs","Elogio a iniciativa de entrar em contato com os outros estudantes que não possuem acesso à internet para realizar a pesquisa e, por consequência, não tornar o resultado viesado :) de resto, espero que tudo dê eventualmente certo."
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"CONSTRUÇÃO DE INDICADORES, CONTROLE ESTATÍSTICO DE QUALIDADE, ESTATÍSTICA NÃO-PARAMÉTRICA, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 2, TG2","Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
